vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,ratecode_id,store_and_fwd_flag,pickup_location_id,dropoff_location_id,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
1,2018-08-04 00:31:22,2018-08-04 00:44:47,3,1.2,1,N,231,148,1,9.5,0.5,0.5,1.2,0.0,0.3,12.0,0.0,0.0
1,2018-08-01 17:47:51,2018-08-01 17:51:56,1,0.4,1,N,263,263,2,4.5,1.0,0.5,0.0,0.0,0.3,6.3,0.0,0.0
1,2018-05-19 22:59:06,2018-05-19 23:27:07,1,8.1,1,N,263,263,1,26.0,0.5,0.5,5.0,0.0,0.3,32.3,0.0,0.0
1,2018-12-04 17:07:32,2018-12-04 17:18:49,1,1.0,1,N,48,43,1,8.5,1.0,0.5,1.0,0.0,0.3,11.3,0.0,0.0
1,2018-10-18 23:34:11,2018-10-18 23:46:03,1,2.4,1,N,162,140,1,10.5,0.5,0.5,2.0,0.0,0.3,13.8,0.0,0.0
2,2018-07-04 02:26:38,2018-07-04 02:32:28,2,0.73,1,N,239,238,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3,0.0,0.0
2,2018-03-03 15:13:56,2018-03-03 15:31:00,2,3.61,1,N,226,129,2,15.0,0.0,0.5,0.0,0.0,0.3,15.8,0.0,0.0
1,2018-12-01 14:13:20,2018-12-01 14:19:18,1,0.8,1,N,263,141,1,6.0,0.0,0.5,2.0,0.0,0.3,8.8,0.0,0.0
2,2018-06-14 08:28:14,2018-06-14 08:56:47,1,3.57,1,N,239,234,1,19.0,0.0,0.5,1.2,0.0,0.3,21.0,0.0,0.0
2,2018-12-23 15:07:47,2018-12-23 15:37:09,1,3.97,1,N,144,79,1,20.0,0.0,0.5,4.16,0.0,0.3,24.96,0.0,0.0
2,2018-01-21 12:47:11,2018-01-21 13:11:48,1,6.8,1,N,261,163,1,24.5,0.0,0.5,5.06,0.0,0.3,30.36,0.0,0.0
1,2018-03-26 08:44:04,2018-03-26 08:56:55,1,1.2,1,N,263,263,1,9.5,0.0,0.5,2.05,0.0,0.3,12.35,0.0,0.0
1,2018-12-28 19:23:27,2018-12-28 19:29:47,1,0.8,1,N,144,231,1,6.0,1.0,0.5,1.5,0.0,0.3,9.3,0.0,0.0
