vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,ratecode_id,store_and_fwd_flag,pickup_location_id,dropoff_location_id,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
1,2017-01-01 00:40:06,2017-01-01 00:49:47,1,1.5,1,N,170,79,1,8.0,0.5,0.5,2.0,0.0,0.3,11.3,0.0,0.0
1,2017-01-01 00:55:59,2017-01-01 01:14:24,1,2.2,1,N,79,164,1,12.5,0.5,0.5,2.5,0.0,0.3,16.3,0.0,0.0
1,2017-01-01 00:40:19,2017-01-01 00:47:50,1,1.1,1,N,90,114,1,6.5,0.5,0.5,1.55,0.0,0.3,9.35,0.0,0.0
1,2017-01-01 00:50:49,2017-01-01 01:22:37,1,4.8,1,N,114,263,1,22.5,0.5,0.5,8.0,0.0,0.3,31.8,0.0,0.0
2,2017-01-01 00:40:33,2017-01-01 01:32:55,1,11.27,1,N,211,119,2,40.5,0.5,0.5,0.0,0.0,0.3,41.8,0.0,0.0
1,2017-01-01 00:25:37,2017-01-01 00:37:36,3,3.1,1,N,137,263,2,12.0,0.5,0.5,0.0,0.0,0.3,13.3,0.0,0.0
1,2017-01-01 00:42:28,2017-01-01 00:50:43,2,1.7,1,N,141,170,1,8.0,0.5,0.5,1.85,0.0,0.3,11.15,0.0,0.0
1,2017-01-01 00:52:55,2017-01-01 01:11:07,2,4.1,1,N,170,255,1,16.0,0.5,0.5,5.7,5.54,0.3,28.54,0.0,0.0
2,2017-01-01 00:07:26,2017-01-01 00:14:21,1,1.04,1,N,238,239,2,6.5,0.5,0.5,0.0,0.0,0.3,7.8,0.0,0.0
2,2017-01-01 00:21:27,2017-01-01 00:34:09,1,1.74,1,N,142,229,1,10.0,0.5,0.5,2.26,0.0,0.3,13.56,0.0,0.0
2,2017-01-01 00:37:35,2017-01-01 00:43:56,1,2.12,1,N,229,263,2,8.0,0.5,0.5,0.0,0.0,0.3,9.3,0.0,0.0
2,2017-01-01 00:51:21,2017-01-01 01:03:55,1,2.14,1,N,236,151,2,10.5,0.5,0.5,0.0,0.0,0.3,11.8,0.0,0.0
1,2017-01-01 00:21:53,2017-01-01 00:38:33,2,1.7,1,N,79,107,1,11.5,0.5,0.5,2.0,0.0,0.3,14.8,0.0,0.0
1,2017-01-01 00:44:35,2017-01-01 00:49:27,2,1.0,1,N,107,137,1,5.5,0.5,0.5,1.35,0.0,0.3,8.15,0.0,0.0
1,2017-01-01 00:58:31,2017-01-01 01:01:56,2,0.4,1,N,164,164,2,4.0,0.5,0.5,0.0,0.0,0.3,5.3,0.0,0.0
2,2017-01-01 00:19:58,2017-01-01 00:30:05,1,1.64,1,N,249,68,2,8.5,0.5,0.5,0.0,0.0,0.3,9.8,0.0,0.0
2,2017-01-01 00:42:21,2017-01-01 00:43:48,1,0.1,1,N,68,68,2,3.0,0.5,0.5,0.0,0.0,0.3,4.3,0.0,0.0
2,2017-01-01 00:51:05,2017-01-01 01:04:40,1,1.73,1,N,234,263,2,6.5,0.5,0.5,0.0,0.0,0.3,7.8,0.0,0.0
2,2017-01-01 00:14:28,2017-01-01 00:54:15,1,4.8,1,N,48,148,2,25.5,0.5,0.5,0.0,0.0,0.3,26.8,0.0,0.0
2,2017-01-01 00:56:34,2017-01-01 01:14:38,1,2.36,1,N,148,256,1,14.0,0.5,0.5,4.59,0.0,0.3,19.89,0.0,0.0
1,2017-01-01 00:27:41,2017-01-01 00:30:39,1,0.3,1,N,239,239,2,4.0,0.5,0.5,0.0,0.0,0.3,5.3,0.0,0.0
1,2017-01-01 00:32:08,2017-01-01 00:54:36,1,6.9,1,N,239,232,1,23.5,0.5,0.5,4.95,0.0,0.3,29.75,0.0,0.0
1,2017-01-01 00:43:25,2017-01-01 01:20:32,1,5.5,1,N,170,17,1,26.5,0.5,0.5,0.0,0.0,0.3,27.8,0.0,0.0
1,2017-01-01 00:26:27,2017-01-01 00:54:26,1,3.0,1,N,162,50,1,18.0,0.5,0.5,5.0,0.0,0.3,24.3,0.0,0.0
1,2017-01-01 00:59:21,2017-01-01 01:26:06,2,3.3,1,N,50,79,1,17.5,0.5,0.5,1.0,0.0,0.3,19.8,0.0,0.0
1,2017-01-01 00:26:54,2017-01-01 00:43:14,1,1.4,1,N,50,68,3,11.0,0.5,0.5,0.0,0.0,0.3,12.3,0.0,0.0
1,2017-01-01 00:57:40,2017-01-01 01:16:28,1,2.0,1,N,68,137,1,12.5,0.5,0.5,2.75,0.0,0.3,16.55,0.0,0.0
1,2017-01-01 00:12:50,2017-01-01 00:27:32,1,7.6,1,N,236,87,1,23.0,0.5,0.5,4.85,0.0,0.3,29.15,0.0,0.0
1,2017-01-01 00:29:03,2017-01-01 00:35:12,1,2.8,1,N,87,4,2,9.5,0.5,0.5,0.0,0.0,0.3,10.8,0.0,0.0
1,2017-01-01 00:37:40,2017-01-01 00:53:19,1,3.7,1,N,4,140,2,14.5,0.5,0.5,0.0,0.0,0.3,15.8,0.0,0.0
1,2017-01-01 00:19:29,2017-01-01 00:34:14,2,4.8,1,N,209,162,2,17.0,0.5,0.5,0.0,0.0,0.3,18.3,0.0,0.0
1,2017-01-01 00:52:32,2017-01-01 01:08:02,4,5.1,1,N,87,162,1,17.5,0.5,0.5,2.0,0.0,0.3,20.8,0.0,0.0
1,2017-01-01 00:19:19,2017-01-01 00:22:24,1,0.9,1,N,142,238,1,4.5,0.5,0.5,0.87,0.0,0.3,6.67,0.0,0.0
1,2017-01-01 00:23:16,2017-01-01 00:50:51,4,6.5,1,N,238,7,2,22.5,0.5,0.5,0.0,0.0,0.3,23.8,0.0,0.0
2,2017-01-01 00:20:16,2017-01-01 00:54:54,3,7.8,1,N,116,249,1,30.0,0.5,0.5,6.26,0.0,0.3,37.56,0.0,0.0
2,2017-01-01 00:59:09,2017-01-01 01:16:21,2,1.88,1,N,249,230,1,11.5,0.5,0.5,2.56,0.0,0.3,15.36,0.0,0.0
2,2017-01-01 00:46:04,2017-01-01 00:57:22,1,1.38,1,N,186,90,1,8.5,0.5,0.5,1.96,0.0,0.3,11.76,0.0,0.0
2,2017-01-01 00:58:20,2017-01-01 01:16:26,1,1.62,1,N,90,148,1,12.0,0.5,0.5,2.66,0.0,0.3,15.96,0.0,0.0
1,2017-01-01 00:20:22,2017-01-01 00:34:05,2,3.2,1,N,107,261,2,12.5,0.5,0.5,0.0,0.0,0.3,13.8,0.0,0.0
1,2017-01-01 00:47:02,2017-01-01 01:16:18,2,7.7,1,N,87,142,1,27.0,0.5,0.5,7.05,0.0,0.3,35.35,0.0,0.0
1,2017-01-01 00:26:42,2017-01-01 00:42:19,2,1.9,1,N,50,164,1,11.0,0.5,0.5,2.45,0.0,0.3,14.75,0.0,0.0
1,2017-01-01 00:59:24,2017-01-01 01:18:50,1,2.3,1,N,79,87,2,13.0,0.5,0.5,0.0,0.0,0.3,14.3,0.0,0.0
1,2017-01-01 00:52:57,2017-01-01 01:02:52,1,1.3,1,N,246,50,1,8.0,0.5,0.5,1.0,0.0,0.3,10.3,0.0,0.0
1,2017-01-01 00:04:25,2017-01-01 00:08:04,1,0.8,1,N,141,263,1,5.0,0.5,0.5,1.25,0.0,0.3,7.55,0.0,0.0
1,2017-01-01 00:10:54,2017-01-01 00:24:09,2,4.8,1,N,263,202,1,15.5,0.5,0.5,5.0,0.0,0.3,21.8,0.0,0.0
1,2017-01-01 00:45:16,2017-01-01 00:54:23,2,1.6,1,N,107,162,2,8.0,0.5,0.5,0.0,0.0,0.3,9.3,0.0,0.0
1,2017-01-01 00:38:43,2017-01-01 00:42:11,1,1.1,1,N,263,263,1,5.0,0.5,0.5,2.0,0.0,0.3,8.3,0.0,0.0
1,2017-01-01 00:44:41,2017-01-01 00:51:04,1,1.8,1,N,263,263,1,7.5,0.5,0.5,1.75,0.0,0.3,10.55,0.0,0.0
1,2017-01-01 00:54:32,2017-01-01 01:02:45,1,1.9,1,N,263,263,1,8.5,0.5,0.5,1.95,0.0,0.3,11.75,0.0,0.0
1,2017-01-01 00:24:39,2017-01-01 00:30:54,1,1.4,1,N,236,75,2,6.5,0.5,0.5,0.0,0.0,0.3,7.8,0.0,0.0
1,2017-01-01 00:35:46,2017-01-01 00:42:41,1,2.2,1,N,263,74,1,8.5,0.5,0.5,2.45,0.0,0.3,12.25,0.0,0.0
1,2017-01-01 00:50:08,2017-01-01 00:55:59,1,1.1,1,N,74,236,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3,0.0,0.0
1,2017-01-01 00:21:41,2017-01-01 00:25:37,2,0.7,1,N,238,238,2,5.0,0.5,0.5,0.0,0.0,0.3,6.3,0.0,0.0
1,2017-01-01 00:28:15,2017-01-01 00:43:44,2,3.1,1,N,238,42,2,13.0,0.5,0.5,0.0,0.0,0.3,14.3,0.0,0.0
1,2017-01-01 00:47:36,2017-01-01 00:52:32,3,0.6,1,N,42,41,1,5.0,0.5,0.5,1.25,0.0,0.3,7.55,0.0,0.0
1,2017-01-01 00:23:23,2017-01-01 00:42:12,3,12.7,1,N,132,16,2,34.5,0.5,0.5,0.0,0.0,0.3,35.8,0.0,0.0
1,2017-01-01 00:01:28,2017-01-01 00:09:53,1,0.7,1,N,244,244,2,7.0,0.5,0.5,0.0,0.0,0.3,8.3,0.0,0.0
1,2017-01-01 00:38:20,2017-01-01 00:55:46,2,2.2,1,N,166,74,2,12.5,0.5,0.5,0.0,0.0,0.3,13.8,0.0,0.0
1,2017-01-01 00:57:32,2017-01-01 01:00:10,1,0.8,1,N,74,75,2,4.5,0.5,0.5,0.0,0.0,0.3,5.8,0.0,0.0
2,2017-01-01 00:20:52,2017-01-01 00:43:06,2,12.21,1,N,132,129,2,35.0,0.5,0.5,0.0,0.0,0.3,36.3,0.0,0.0
2,2017-01-01 00:47:32,2017-01-01 00:52:12,2,0.94,1,N,129,173,2,5.5,0.5,0.5,0.0,0.0,0.3,6.8,0.0,0.0
1,2017-01-01 00:08:05,2017-01-01 00:11:12,1,1.2,1,N,237,236,2,5.5,0.5,0.5,0.0,0.0,0.3,6.8,0.0,0.0
1,2017-01-01 00:13:30,2017-01-01 00:19:15,1,1.0,1,N,236,75,1,6.0,0.5,0.5,1.45,0.0,0.3,8.75,0.0,0.0
1,2017-01-01 00:30:16,2017-01-01 00:35:36,1,0.9,1,N,239,43,1,6.0,0.5,0.5,1.45,0.0,0.3,8.75,0.0,0.0
1,2017-01-01 00:49:51,2017-01-01 01:02:15,1,2.3,1,N,239,141,1,10.5,0.5,0.5,1.77,0.0,0.3,13.57,0.0,0.0
1,2017-01-01 00:20:55,2017-01-01 00:26:42,2,0.5,1,N,50,246,1,5.5,0.5,0.5,5.0,0.0,0.3,11.8,0.0,0.0
