vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,ratecode_id,store_and_fwd_flag,pickup_location_id,dropoff_location_id,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
2,2016-08-10 21:32:23,2016-08-10 21:36:30,2,0.65,1,N,237,236,1,5.0,0.5,0.5,1.26,0.0,0.3,7.56,0.0,0.0
2,2016-02-29 18:41:51,2016-02-29 19:01:54,1,9.12,1,N,138,141,1,27.0,1.0,0.5,5.76,0.0,0.3,34.56,0.0,0.0
2,2016-10-16 03:34:40,2016-10-16 03:52:45,1,5.31,1,N,79,239,2,18.0,0.5,0.5,0.0,0.0,0.3,19.3,0.0,0.0
2,2016-11-07 13:00:13,2016-11-07 13:09:39,5,1.08,1,N,234,137,1,7.5,0.0,0.5,1.0,0.0,0.3,9.3,0.0,0.0
1,2016-02-14 21:11:12,2016-02-14 21:17:27,1,1.3,1,N,107,79,2,7.0,0.5,0.5,0.0,0.0,0.3,8.3,0.0,0.0
2,2016-10-22 15:49:05,2016-10-22 15:55:47,1,0.73,1,N,163,237,1,6.0,0.0,0.5,1.36,0.0,0.3,8.16,0.0,0.0
1,2016-01-05 09:46:38,2016-01-05 09:55:19,1,1.2,1,N,141,161,1,7.5,0.0,0.5,1.65,0.0,0.3,9.95,0.0,0.0
1,2016-02-14 01:33:31,2016-02-14 01:37:24,1,0.7,1,N,65,97,2,5.0,0.5,0.5,0.0,0.0,0.3,6.3,0.0,0.0
2,2016-09-28 15:44:28,2016-09-28 15:49:56,2,0.77,1,N,161,164,2,5.5,0.0,0.5,0.0,0.0,0.3,6.3,0.0,0.0
1,2016-05-29 14:33:30,2016-05-29 15:27:57,1,17.3,1,N,246,219,1,52.0,0.0,0.5,8.0,5.54,0.3,66.34,0.0,0.0
1,2016-03-24 18:02:54,2016-03-24 18:12:39,1,1.2,1,N,231,261,1,8.0,1.0,0.5,2.45,0.0,0.3,12.25,0.0,0.0
2,2016-12-15 18:30:14,2016-12-15 19:22:21,1,9.13,1,N,138,238,1,37.5,1.0,0.5,8.97,5.54,0.3,53.81,0.0,0.0
1,2016-08-12 19:44:12,2016-08-12 19:53:03,1,0.4,1,N,161,230,2,6.5,1.0,0.5,0.0,0.0,0.3,8.3,0.0,0.0
2,2016-12-23 20:21:53,2016-12-23 20:36:36,1,0.87,1,N,163,161,2,10.0,0.5,0.5,0.0,0.0,0.3,11.3,0.0,0.0
